,title,artist,released_year,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,decease_date
0,Bohemian Rhapsody,Queen,1975,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,99999
1,Hotel California,Eagles,1977,2,4,3,3,2,2,3,3,3,2,2,1,2,2,2,1,3,2,2,2,2,99999
2,Child In Time,Deep Purple,1972,3,2,2,2,3,3,4,4,4,4,5,4,3,4,4,4,8,5,5,6,99999,99999
3,Stairway To Heaven,Led Zeppelin,1971,4,3,4,4,4,4,5,5,5,5,4,5,5,3,3,3,5,3,3,4,5,99999
4,Paradise By The Dashboard Light,Meat Loaf,1978,5,5,5,5,5,6,6,7,10,6,12,9,11,19,22,17,30,27,27,29,35,99999
5,Yesterday,Beatles,1965,6,8,24,30,34,37,46,39,32,28,44,33,50,85,76,89,96,97,87,122,99999,99999
6,Imagine,John Lennon,1971,7,7,11,11,13,9,15,15,41,15,41,26,28,22,23,38,1,12,16,16,29,1980
7,Angie,Rolling Stones,1973,8,9,22,12,10,13,18,21,45,20,36,35,41,26,46,54,77,78,70,79,99999,99999
8,Bridge Over Troubled Water,Simon & Garfunkel,1970,9,27,17,32,32,45,42,43,66,43,39,32,33,38,38,48,59,52,58,61,82,99999
9,A Whiter Shade Of Pale,Procol Harum,1967,10,18,23,20,22,28,22,25,47,26,50,42,65,61,83,98,105,119,117,153,162,99999
10,Hey Jude,Beatles,1968,11,6,9,15,18,18,14,22,18,16,23,24,24,33,45,58,48,39,61,70,99999,99999
11,Riders On The Storm,Doors,1971,12,14,12,10,12,16,24,26,33,22,26,27,23,32,30,40,49,46,49,58,99999,99999
12,House Of The Rising Sun,Animals,1964,13,12,6,6,7,8,8,12,7,7,29,18,25,51,55,78,84,71,77,86,103,99999
13,Goodnight Saigon,Billy Joel,1983,14,11,8,18,25,22,34,51,38,32,53,38,62,80,90,83,79,77,81,93,101,99999
14,Nights In White Satin,Moody Blues,1968,15,25,29,23,28,33,35,23,50,31,42,41,45,65,68,76,102,122,124,111,99999,99999
15,Dancing Queen,ABBA,1976,16,30,28,41,46,42,36,49,29,37,70,68,88,111,160,127,155,131,92,67,68,99999
16,Another Brick In The Wall,Pink Floyd,1979,17,20,20,26,39,32,52,46,86,45,56,47,53,39,48,56,72,66,90,54,69,99999
17,Sunday Bloody Sunday,U2,1985,18,13,31,24,37,29,39,41,65,41,57,55,66,55,62,62,57,49,47,69,61,99999
18,Music,John Miles,1976,19,39,32,37,36,67,75,65,76,56,111,122,123,113,129,116,135,170,187,209,205,99999
19,Sultans Of Swing,Dire Straits,1978,20,16,10,16,15,27,28,27,28,23,32,25,30,28,21,27,25,26,26,20,26,99999
20,Tears In Heaven,Eric Clapton,1992,21,31,35,34,43,40,41,44,46,36,60,50,44,77,65,73,83,83,75,78,91,99999
21,(I Can't Get No) Satisfaction,Rolling Stones,1965,22,46,102,75,81,82,123,122,164,116,157,181,216,93,225,238,236,294,305,304,99999,99999
22,Radar Love,Golden Earring,1973,23,21,21,27,27,12,13,16,23,17,24,16,18,18,24,26,31,22,21,27,23,99999
23,Old And Wise,Alan Parsons Project,1982,24,28,13,8,9,11,9,11,9,8,18,10,20,21,31,28,37,37,35,65,99999,99999
24,Losing My Religion,R.E.M.,1991,25,15,37,42,33,46,76,79,132,60,67,83,68,118,111,126,112,80,73,84,112,99999
25,School,Supertramp,1974,26,17,16,14,21,34,37,36,52,33,46,44,37,35,37,41,52,48,44,44,41,99999
26,Let It Be,Beatles,1970,27,37,40,47,23,41,55,58,57,49,54,46,56,52,39,50,51,68,79,53,99999,99999
27,Brothers In Arms,Dire Straits,1985,28,22,7,9,11,15,19,20,19,13,21,19,15,11,11,14,15,19,17,15,17,99999
28,Sympathy For The Devil,Rolling Stones,1973,29,34,44,28,14,26,38,45,59,38,43,43,46,50,35,37,46,60,51,49,99999,99999
29,Who Wants To Live Forever,Queen,1986,30,23,34,22,45,50,74,74,120,62,77,87,94,134,100,100,99,86,107,74,74,99999
30,Everybody Hurts,R.E.M.,1993,31,99999,50,61,58,61,58,66,99,68,76,66,59,101,122,138,138,140,144,166,181,99999
31,Over De Muur,Klein Orkest,1984,32,38,54,50,59,56,48,47,64,52,47,56,83,71,84,60,76,81,45,60,30,99999
32,Paint It Black,Rolling Stones,1966,33,48,62,60,54,54,68,57,107,63,65,63,82,43,49,57,50,61,67,48,99999,99999
33,Africa,Toto,1982,34,49,33,39,52,63,70,75,110,66,100,97,87,62,28,51,42,30,25,8,11,99999
34,The Winner Takes It All,ABBA,1980,35,92,106,103,77,133,113,140,94,107,121,104,176,201,197,135,174,165,192,176,182,99999
35,Het Dorp,Wim Sonneveld,1974,36,32,39,38,48,47,44,29,53,42,40,40,57,69,36,39,45,55,62,64,25,99999
36,Candle In The Wind '97,Elton John,1997,37,80,293,405,424,372,429,357,376,351,610,475,650,806,777,899,816,888,892,1038,821,99999
37,Kayleigh,Marillion,1985,38,55,68,73,66,103,121,115,154,111,173,198,217,159,174,163,172,191,173,195,221,99999
38,No Woman No Cry (Live),Bob Marley & The Wailers,1975,39,63,92,93,75,70,93,113,79,86,106,54,79,141,156,233,270,223,257,269,99999,99999
39,Testament,Boudewijn De Groot,1967,40,41,51,31,31,31,31,42,54,39,86,92,130,170,202,211,249,247,277,256,99999,99999
40,My Heart Will Go On,Celine Dion,1998,41,89,209,238,354,334,400,419,326,337,559,562,637,598,849,922,828,1129,1243,978,99999,99999
41,I'm Not In Love,10cc,1975,42,53,27,53,50,64,71,95,60,64,138,437,154,272,404,290,368,372,247,473,551,99999
42,When The Lady Smiles,Golden Earring,1984,43,52,84,89,98,96,81,111,165,109,136,135,138,177,146,161,161,115,119,142,118,99999
43,Niet Of Nooit Geweest,Acda & De Munnik,1998,44,40,48,36,74,87,94,150,108,93,272,243,254,447,542,479,435,486,550,667,684,99999
44,Summer Of '69,Bryan Adams,1984,45,43,94,51,57,59,88,109,98,77,139,131,107,145,167,197,147,150,145,148,99999,99999
45,Bright Eyes,Art Garfunkel,1979,46,51,53,100,137,120,154,222,140,136,347,223,281,455,470,631,596,624,612,698,699,99999
46,The Rose,Bette Midler,1980,47,35,30,43,44,36,32,34,24,27,33,29,35,86,105,85,100,94,97,177,193,99999
47,The River,Bruce Springsteen,1981,48,33,26,19,30,20,27,40,11,21,30,30,10,15,7,16,17,14,19,21,19,99999
48,The Sound Of Silence,Simon & Garfunkel,1966,49,71,61,64,76,85,101,81,153,92,82,74,58,70,32,42,44,23,28,26,28,99999
49,Thank You For The Music,ABBA,1978,50,201,264,267,248,210,170,243,137,178,284,310,409,374,460,376,401,378,432,438,416,99999
50,With Or Without You,U2,1987,51,26,52,35,40,38,47,48,48,46,62,62,86,53,47,45,56,59,41,52,55,99999
51,Good Vibrations,Beach Boys,1966,52,54,75,83,85,73,91,117,68,83,98,105,116,245,265,253,313,217,221,448,99999,99999
52,Whole Lotta Rosie,AC/DC,1978,53,29,15,13,19,17,21,33,12,18,17,28,34,45,64,43,53,73,59,73,81,99999
53,Purple Rain,Prince & The Revolution,1984,54,90,160,120,160,104,152,126,148,132,169,79,80,74,77,71,62,13,18,25,24,99999
54,(Everything I Do) I Do It For You,Bryan Adams,1991,55,69,63,131,128,153,220,208,229,166,483,459,469,197,581,660,593,784,787,703,685,99999
55,I Put A Spell On You,Creedence Clearwater Revival,1972,56,36,38,54,53,49,56,60,61,54,83,53,77,132,152,143,152,148,157,190,187,99999
56,Private Investigations,Dire Straits,1982,57,19,14,7,17,24,29,31,35,25,37,36,47,49,66,70,67,67,69,80,87,99999
